Device: cuda
Loaded 46588 samples from cache
Channel weights: user=1.0, assistant=1.2
Normalization: l2
Embeddings shape: (46588, 9216)
Embedding dimension: 9216
Model parameters: 9,879,681

=== PHASE 1: PROBE (5 epochs) ===
Epoch 285/1000 — loss: 0.0021, val MAE: 0.0179
Epoch 286/1000 — loss: 0.0016, val MAE: 0.0148
Epoch 287/1000 — loss: 0.0014, val MAE: 0.0152
Epoch 288/1000 — loss: 0.0017, val MAE: 0.0143
Epoch 289/1000 — loss: 0.0012, val MAE: 0.0142
Epoch 290/1000 — loss: 0.0013, val MAE: 0.0146
Epoch 291/1000 — loss: 0.0014, val MAE: 0.0139
Epoch 292/1000 — loss: 0.0013, val MAE: 0.0148
Epoch 293/1000 — loss: 0.0013, val MAE: 0.0150
Epoch 294/1000 — loss: 0.0014, val MAE: 0.0131
Epoch 295/1000 — loss: 0.0018, val MAE: 0.0274
Epoch 296/1000 — loss: 0.0014, val MAE: 0.0138
Epoch 297/1000 — loss: 0.0013, val MAE: 0.0141
Epoch 298/1000 — loss: 0.0013, val MAE: 0.0143
Epoch 299/1000 — loss: 0.0014, val MAE: 0.0140
Epoch 300/1000 — loss: 0.0014, val MAE: 0.0146
Epoch 301/1000 — loss: 0.0013, val MAE: 0.0148
Epoch 302/1000 — loss: 0.0015, val MAE: 0.0146
Epoch 303/1000 — loss: 0.0013, val MAE: 0.0143
Epoch 304/1000 — loss: 0.0014, val MAE: 0.0139
Epoch 305/1000 — loss: 0.0013, val MAE: 0.0142
Epoch 306/1000 — loss: 0.0016, val MAE: 0.0176
Epoch 307/1000 — loss: 0.0019, val MAE: 0.0168
Epoch 308/1000 — loss: 0.0015, val MAE: 0.0143
Epoch 309/1000 — loss: 0.0013, val MAE: 0.0144
Epoch 310/1000 — loss: 0.0014, val MAE: 0.0161
Epoch 311/1000 — loss: 0.0014, val MAE: 0.0141
Epoch 312/1000 — loss: 0.0014, val MAE: 0.0151
Epoch 313/1000 — loss: 0.0014, val MAE: 0.0140
Epoch 314/1000 — loss: 0.0013, val MAE: 0.0140
Epoch 315/1000 — loss: 0.0014, val MAE: 0.0156
Epoch 316/1000 — loss: 0.0014, val MAE: 0.0145
Epoch 317/1000 — loss: 0.0014, val MAE: 0.0144
Epoch 318/1000 — loss: 0.0013, val MAE: 0.0142
Epoch 319/1000 — loss: 0.0013, val MAE: 0.0160
Epoch 320/1000 — loss: 0.0016, val MAE: 0.0148
Epoch 321/1000 — loss: 0.0013, val MAE: 0.0145
Epoch 322/1000 — loss: 0.0013, val MAE: 0.0154
Epoch 323/1000 — loss: 0.0012, val MAE: 0.0142
Epoch 324/1000 — loss: 0.0011, val MAE: 0.0136
Epoch 325/1000 — loss: 0.0013, val MAE: 0.0146
Epoch 326/1000 — loss: 0.0013, val MAE: 0.0134
Epoch 327/1000 — loss: 0.0012, val MAE: 0.0140
Epoch 328/1000 — loss: 0.0013, val MAE: 0.0141
Epoch 329/1000 — loss: 0.0015, val MAE: 0.0159
